Found (0, 1, 2, 3, 4, 5, 6) in 2 guesses.
Found (0, 1, 2, 3, 4, 6, 5) in 3 guesses.
Found (0, 1, 2, 3, 5, 4, 6) in 3 guesses.
Found (0, 1, 2, 3, 5, 6, 4) in 4 guesses.
Found (0, 1, 2, 3, 6, 4, 5) in 5 guesses.
Found (0, 1, 2, 3, 6, 5, 4) in 4 guesses.
Found (0, 1, 2, 4, 3, 5, 6) in 4 guesses.
Found (0, 1, 2, 4, 3, 6, 5) in 4 guesses.
Found (0, 1, 2, 4, 5, 3, 6) in 5 guesses.
Found (0, 1, 2, 4, 5, 6, 3) in 2 guesses.
Found (0, 1, 2, 4, 6, 3, 5) in 4 guesses.
Found (0, 1, 2, 4, 6, 5, 3) in 5 guesses.
Found (0, 1, 2, 5, 3, 4, 6) in 5 guesses.
Found (0, 1, 2, 5, 3, 6, 4) in 4 guesses.
Found (0, 1, 2, 5, 4, 3, 6) in 4 guesses.
Found (0, 1, 2, 5, 4, 6, 3) in 5 guesses.
Found (0, 1, 2, 5, 6, 3, 4) in 4 guesses.
Found (0, 1, 2, 5, 6, 4, 3) in 4 guesses.
Found (0, 1, 2, 6, 3, 4, 5) in 4 guesses.
Found (0, 1, 2, 6, 3, 5, 4) in 5 guesses.
Found (0, 1, 2, 6, 4, 3, 5) in 5 guesses.
Found (0, 1, 2, 6, 4, 5, 3) in 4 guesses.
Found (0, 1, 2, 6, 5, 3, 4) in 4 guesses.
Found (0, 1, 2, 6, 5, 4, 3) in 4 guesses.
Found (0, 1, 3, 2, 4, 5, 6) in 3 guesses.
Found (0, 1, 3, 2, 4, 6, 5) in 5 guesses.
Found (0, 1, 3, 2, 5, 4, 6) in 4 guesses.
Found (0, 1, 3, 2, 5, 6, 4) in 4 guesses.
Found (0, 1, 3, 2, 6, 4, 5) in 4 guesses.
Found (0, 1, 3, 2, 6, 5, 4) in 4 guesses.
Found (0, 1, 3, 4, 2, 5, 6) in 3 guesses.
Found (0, 1, 3, 4, 2, 6, 5) in 4 guesses.
Found (0, 1, 3, 4, 5, 2, 6) in 4 guesses.
Found (0, 1, 3, 4, 5, 6, 2) in 2 guesses.
Found (0, 1, 3, 4, 6, 2, 5) in 4 guesses.
Found (0, 1, 3, 4, 6, 5, 2) in 4 guesses.
Found (0, 1, 3, 5, 2, 4, 6) in 4 guesses.
Found (0, 1, 3, 5, 2, 6, 4) in 4 guesses.
Found (0, 1, 3, 5, 4, 2, 6) in 4 guesses.
Found (0, 1, 3, 5, 4, 6, 2) in 5 guesses.
Found (0, 1, 3, 5, 6, 2, 4) in 5 guesses.
Found (0, 1, 3, 5, 6, 4, 2) in 4 guesses.
Found (0, 1, 3, 6, 2, 4, 5) in 4 guesses.
Found (0, 1, 3, 6, 2, 5, 4) in 4 guesses.
Found (0, 1, 3, 6, 4, 2, 5) in 5 guesses.
